Nombre del Pedido: P003, URN: dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL011cm8lMjBFTkclMjBGRi5ydnQ=

"EJE/VIGA/LOSA";"ELEM CONST";"PISO";"CICLO";"Cantidad";"Ø mm";"Figura";"L/m";"Uso";"A/cm";"B/cm";"C/cm";"D/cm";"E/cm";"F/cm";"G/cm";"H/cm";"I/cm";"J/cm";"AngV";"AngV2";"AngV3";"R/cm";"Peso Kg";"Id"
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3833
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3834
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3835
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3836
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3837
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3838
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3839
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3840
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3841
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3842
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3843
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3844
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3845
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3846
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3847
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3848
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3849
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3850
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3851
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3852
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3853
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3854
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3855
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3856
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3857
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3858
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3859
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3860
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3861
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3862
